time,s,i,v,p_s,p_i,phi
26.700000,0.192655,0.033613,0.050000,15.446546,197.712198,-0.975851
26.800000,0.191497,0.033471,0.050000,15.340698,197.139172,-0.937701
26.900000,0.190347,0.033329,0.050000,15.235567,196.569373,-0.900051
27.000000,0.189205,0.033186,0.050000,15.131151,196.002745,-0.862895
27.100000,0.188071,0.033042,0.050000,15.027451,195.439230,-0.826228
27.200000,0.186944,0.032898,0.050000,14.924467,194.878776,-0.790043
27.300000,0.185825,0.032754,0.050000,14.822199,194.321326,-0.754335
27.400000,0.184713,0.032609,0.050000,14.720647,193.766829,-0.719099
27.500000,0.183609,0.032464,0.050000,14.619810,193.215229,-0.684329
27.600000,0.182512,0.032318,0.050000,14.519689,192.666475,-0.650020
27.700000,0.181423,0.032172,0.050000,14.420284,192.120515,-0.616166
27.800000,0.180340,0.032025,0.050000,14.321594,191.577297,-0.582762
27.900000,0.179265,0.031878,0.050000,14.223619,191.036771,-0.549803
28.000000,0.178198,0.031731,0.050000,14.126358,190.498884,-0.517284
28.100000,0.177137,0.031583,0.050000,14.029812,189.963588,-0.485200
28.200000,0.176084,0.031435,0.050000,13.933980,189.430834,-0.453545
28.300000,0.175037,0.031287,0.050000,13.838862,188.900571,-0.422314
28.400000,0.173998,0.031138,0.050000,13.744456,188.372751,-0.391502
28.500000,0.172965,0.030989,0.050000,13.650764,187.847327,-0.361105
28.600000,0.171939,0.030840,0.050000,13.557783,187.324250,-0.331118
28.700000,0.170921,0.030691,0.050000,13.465514,186.803474,-0.301535
28.800000,0.169909,0.030541,0.050000,13.373956,186.284951,-0.272352
28.900000,0.168903,0.030392,0.050000,13.283109,185.768635,-0.243563
29.000000,0.167905,0.030242,0.050000,13.192971,185.254481,-0.215165
29.100000,0.166913,0.030092,0.050000,13.103542,184.742442,-0.187153
29.200000,0.165928,0.029941,0.050000,13.014822,184.232473,-0.159522
29.300000,0.164949,0.029791,0.050000,12.926809,183.724530,-0.132267
29.400000,0.163977,0.029640,0.050000,12.839503,183.218568,-0.105384
29.500000,0.163011,0.029490,0.050000,12.752903,182.714544,-0.078868
29.600000,0.162052,0.029339,0.050000,12.667008,182.212412,-0.052715
29.700000,0.161099,0.029188,0.049999,12.581816,181.712131,-0.026920
29.800000,0.160153,0.029038,0.049974,12.497297,181.213657,-0.001475
29.900000,0.159213,0.028887,0.000001,12.351392,180.716646,0.033501
30.000000,0.159075,0.028736,0.000000,12.206555,180.217030,0.058245
30.100000,0.158938,0.028586,0.000000,12.062782,179.714791,0.082770
30.200000,0.158801,0.028436,0.000000,11.920071,179.209915,0.107077
30.300000,0.158666,0.028287,0.000000,11.778417,178.702385,0.131167
30.400000,0.158531,0.028139,0.000000,11.637817,178.192184,0.155043
30.500000,0.158397,0.027991,0.000000,11.498268,177.679298,0.178704
30.600000,0.158264,0.027844,0.000000,11.359767,177.163710,0.202154
30.700000,0.158132,0.027698,0.000000,11.222309,176.645402,0.225392
30.800000,0.158001,0.027553,0.000000,11.085892,176.124360,0.248421
30.900000,0.157870,0.027408,0.000000,10.950511,175.600566,0.271241
31.000000,0.157740,0.027263,0.000000,10.816165,175.074003,0.293854
31.100000,0.157611,0.027120,0.000000,10.682848,174.544655,0.316262
31.200000,0.157483,0.026977,0.000000,10.550557,174.012506,0.338465
31.300000,0.157356,0.026835,0.000000,10.419289,173.477537,0.360466
31.400000,0.157229,0.026693,0.000000,10.289041,172.939732,0.382265
31.500000,0.157103,0.026552,0.000000,10.159808,172.399075,0.403863
31.600000,0.156978,0.026411,0.000000,10.031588,171.855546,0.425262
31.700000,0.156854,0.026272,0.000000,9.904377,171.309131,0.446463
31.800000,0.156730,0.026133,0.000000,9.778170,170.759810,0.467468
31.900000,0.156607,0.025994,0.000000,9.652966,170.207566,0.488278
32.000000,0.156485,0.025856,0.000000,9.528759,169.652382,0.508893
32.100000,0.156364,0.025719,0.000000,9.405547,169.094240,0.529315
32.200000,0.156243,0.025583,0.000000,9.283326,168.533121,0.549546
32.300000,0.156123,0.025447,0.000000,9.162093,167.969009,0.569587
32.400000,0.156004,0.025311,0.000000,9.041843,167.401885,0.589438
32.500000,0.155885,0.025177,0.000000,8.922574,166.831731,0.609102
32.600000,0.155768,0.025043,0.000000,8.804281,166.258528,0.628578
32.700000,0.155651,0.024909,0.000000,8.686961,165.682259,0.647870
32.800000,0.155534,0.024777,0.000000,8.570611,165.102904,0.666976
32.900000,0.155419,0.024644,0.000000,8.455227,164.520445,0.685900
33.000000,0.155304,0.024513,0.000000,8.340805,163.934864,0.704642
33.100000,0.155190,0.024382,0.000000,8.227342,163.346141,0.723203
33.200000,0.155076,0.024252,0.000000,8.114834,162.754258,0.741584
33.300000,0.154963,0.024122,0.000000,8.003278,162.159195,0.759787
33.400000,0.154851,0.023993,0.000000,7.892670,161.560934,0.777812
33.500000,0.154740,0.023864,0.000000,7.783006,160.959455,0.795661
33.600000,0.154629,0.023737,0.000000,7.674282,160.354738,0.813335
33.700000,0.154519,0.023609,0.000000,7.566496,159.746765,0.830835
33.800000,0.154409,0.023483,0.000000,7.459644,159.135516,0.848162
33.900000,0.154300,0.023357,0.000000,7.353721,158.520970,0.865317
34.000000,0.154192,0.023231,0.000000,7.248725,157.903109,0.882302
34.100000,0.154085,0.023106,0.000000,7.144651,157.281911,0.899117
34.200000,0.153978,0.022982,0.000000,7.041497,156.657358,0.915764
34.300000,0.153872,0.022858,0.000000,6.939258,156.029429,0.932243
34.400000,0.153766,0.022735,0.000000,6.837931,155.398103,0.948556
34.500000,0.153662,0.022613,0.000000,6.737512,154.763361,0.964704
34.600000,0.153557,0.022491,0.000000,6.637998,154.125181,0.980687
34.700000,0.153454,0.022370,0.000000,6.539385,153.483543,0.996507
34.800000,0.153351,0.022249,0.000000,6.441670,152.838426,1.012165
34.900000,0.153248,0.022129,0.000000,6.344849,152.189809,1.027663
35.000000,0.153147,0.022009,0.000000,6.248918,151.537671,1.043000
35.100000,0.153045,0.021890,0.000000,6.153873,150.881992,1.058178
35.200000,0.152945,0.021772,0.000000,6.059712,150.222749,1.073198
35.300000,0.152845,0.021654,0.000000,5.966431,149.559922,1.088060
35.400000,0.152746,0.021537,0.000000,5.874025,148.893488,1.102767
35.500000,0.152647,0.021420,0.000000,5.782492,148.223427,1.117319
35.600000,0.152549,0.021304,0.000000,5.691828,147.549716,1.131717
35.700000,0.152451,0.021189,0.000000,5.602028,146.872333,1.145962
